Hourly measurement data supplied by UK-air on 20/01/2024
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Marylebone Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,,51.522530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,,-0.154611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Type,,Urban Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zone,,Greater London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agglomeration,,Greater London Urban Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Authority,,"Westminster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"ethane",Status,"ethene",Status,"ethyne",Status,"propane",Status,"propene",Status,"iso-butane",Status,"n-butane",Status,"1-butene",Status,"trans-2-butene",Status,"cis-2-butene",Status,"iso-pentane",Status,"n-pentane",Status,"1,3-butadiene",Status,"trans-2-pentene",Status,"1-pentene",Status,"2-methylpentane",Status,"isoprene",Status,"n-hexane",Status,"n-heptane",Status,"iso-octane",Status,"n-octane",Status,"benzene",Status,"toluene",Status,"ethylbenzene",Status,"m+p-xylene",Status,"o-xylene",Status,"1,2,3-trimethylbenzene",Status,"1,2,4-trimethylbenzene",Status,"1,3,5-trimethylbenzene",Status,"Wind Direction",Status,"Wind Speed",Status
2005-01-01,01:00:00,0,V ugm-3,148,V ugm-3,118,V ugm-3,344,V ugm-3,8,V ugm-3,1.3,V mgm-3,49,V ugm-3 (INDIC.GRAV),27,V ugm-3 (TEOM),17.95,V ugm-3,6,V ugm-3,4.63,V ugm-3,9,V ugm-3,2.92,V ugm-3,6.36,V ugm-3,12.8,V ugm-3,0.7,V ugm-3,0.68,V ugm-3,0.47,V ugm-3,9.36,V ugm-3,2.58,V ugm-3,0.63,V ugm-3,0.64,V ugm-3,No data,,2.86,V ugm-3,0.34,V ugm-3,1.47,V ugm-3,0.54,V ugm-3,No data,,No data,,3.06,V ugm-3,10.53,V ugm-3,1.59,V ugm-3,5.6,V ugm-3,2.16,V ugm-3,No data,,2.8,V ugm-3,0.65,V ugm-3,291.6,N deg,0.5,N ms-1
2005-01-01,02:00:00,0,V ugm-3,185,V ugm-3,115,V ugm-3,397,V ugm-3,11,V ugm-3,2.1,V mgm-3,55,V ugm-3 (INDIC.GRAV),27,V ugm-3 (TEOM),16.89,V ugm-3,8.69,V ugm-3,6.54,V ugm-3,8.38,V ugm-3,4.81,V ugm-3,11.28,V ugm-3,23.93,V ugm-3,1.19,V ugm-3,1.44,V ugm-3,0.93,V ugm-3,19.62,V ugm-3,4.77,V ugm-3,1.01,V ugm-3,1.46,V ugm-3,No data,,5.55,V ugm-3,0.42,V ugm-3,2.04,V ugm-3,1.58,V ugm-3,No data,,No data,,5.04,V ugm-3,18.23,V ugm-3,3.22,V ugm-3,11.03,V ugm-3,3.88,V ugm-3,No data,,4.75,V ugm-3,1.45,V ugm-3,293.4,N deg,0.4,N ms-1
2005-01-01,03:00:00,2,V ugm-3,101,V ugm-3,101,V ugm-3,256,V ugm-3,5,V ugm-3,1.3,V mgm-3,39,V ugm-3 (INDIC.GRAV),16,V ugm-3 (TEOM),13.98,V ugm-3,4.91,V ugm-3,3.81,V ugm-3,6.48,V ugm-3,2.78,V ugm-3,5.42,V ugm-3,10.94,V ugm-3,0.51,V ugm-3,0.7,V ugm-3,0.47,V ugm-3,9.51,V ugm-3,2.49,V ugm-3,0.59,V ugm-3,0.67,V ugm-3,No data,,2.94,V ugm-3,0.4,V ugm-3,1.47,V ugm-3,0.58,V ugm-3,No data,,No data,,2.54,V ugm-3,10.15,V ugm-3,1.81,V ugm-3,5.29,V ugm-3,2.07,V ugm-3,No data,,2.55,V ugm-3,0.6,V ugm-3,287.1,N deg,0.4,N ms-1
2005-01-01,04:00:00,4,V ugm-3,130,V ugm-3,107,V ugm-3,306,V ugm-3,8,V ugm-3,1.4,V mgm-3,39,V ugm-3 (INDIC.GRAV),13,V ugm-3 (TEOM),16.04,V ugm-3,5.51,V ugm-3,4.64,V ugm-3,7.25,V ugm-3,3.24,V ugm-3,5.18,V ugm-3,10.99,V ugm-3,0.68,V ugm-3,0.68,V ugm-3,0.51,V ugm-3,9.18,V ugm-3,2.46,V ugm-3,0.86,V ugm-3,0.64,V ugm-3,No data,,2.97,V ugm-3,0.51,V ugm-3,1.25,V ugm-3,0.63,V ugm-3,No data,,No data,,3.02,V ugm-3,10.57,V ugm-3,1.9,V ugm-3,6.35,V ugm-3,2.21,V ugm-3,No data,,2.75,V ugm-3,0.65,V ugm-3,282.5,N deg,0.4,N ms-1
2005-01-01,05:00:00,2,V ugm-3,128,V ugm-3,96,V ugm-3,290,V ugm-3,5,V ugm-3,1.3,V mgm-3,36,V ugm-3 (INDIC.GRAV),16,V ugm-3 (TEOM),16.74,V ugm-3,5.78,V ugm-3,4.53,V ugm-3,7.45,V ugm-3,3.06,V ugm-3,4.65,V ugm-3,9.66,V ugm-3,0.65,V ugm-3,0.63,V ugm-3,0.49,V ugm-3,9.18,V ugm-3,2.46,V ugm-3,0.61,V ugm-3,0.67,V ugm-3,No data,,3.22,V ugm-3,0.45,V ugm-3,1.22,V ugm-3,0.63,V ugm-3,No data,,No data,,2.89,V ugm-3,11.3,V ugm-3,1.81,V ugm-3,6.22,V ugm-3,2.43,V ugm-3,No data,,3,V ugm-3,0.7,V ugm-3,191.8,N deg,0.3,N ms-1
2005-01-01,06:00:00,4,V ugm-3,100,V ugm-3,99,V ugm-3,252,V ugm-3,5,V ugm-3,0.9,V mgm-3,27,V ugm-3 (INDIC.GRAV),11,V ugm-3 (TEOM),15.31,V ugm-3,3.26,V ugm-3,2.49,V ugm-3,6.9,V ugm-3,1.84,V ugm-3,3.65,V ugm-3,6.68,V ugm-3,0.44,V ugm-3,0.37,V ugm-3,0.26,V ugm-3,5.13,V ugm-3,1.65,V ugm-3,0.38,V ugm-3,0.35,V ugm-3,No data,,1.61,V ugm-3,0.2,V ugm-3,0.86,V ugm-3,0.29,V ugm-3,No data,,No data,,1.5,V ugm-3,4.98,V ugm-3,0.88,V ugm-3,2.51,V ugm-3,1.15,V ugm-3,No data,,1.3,V ugm-3,0.35,V ugm-3,331.6,N deg,0.2,N ms-1
2005-01-01,07:00:00,8,V ugm-3,78,V ugm-3,94,V ugm-3,212,V ugm-3,5,V ugm-3,0.7,V mgm-3,21,V ugm-3 (INDIC.GRAV),7,V ugm-3 (TEOM),13.68,V ugm-3,3.01,V ugm-3,2.76,V ugm-3,5.91,V ugm-3,1.49,V ugm-3,2.78,V ugm-3,5.64,V ugm-3,0.4,V ugm-3,0.49,V ugm-3,0.33,V ugm-3,4.68,V ugm-3,1.47,V ugm-3,0.32,V ugm-3,0.32,V ugm-3,No data,,1.61,V ugm-3,0.2,V ugm-3,0.86,V ugm-3,0.38,V ugm-3,No data,,No data,,1.5,V ugm-3,5.82,V ugm-3,0.84,V ugm-3,3.09,V ugm-3,1.37,V ugm-3,No data,,1.3,V ugm-3,0.35,V ugm-3,333.1,N deg,0.3,N ms-1
2005-01-01,08:00:00,8,V ugm-3,83,V ugm-3,107,V ugm-3,233,V ugm-3,5,V ugm-3,0.7,V mgm-3,21,V ugm-3 (INDIC.GRAV),7,V ugm-3 (TEOM),13.4,V ugm-3,2.71,V ugm-3,2.28,V ugm-3,5.82,V ugm-3,1.3,V ugm-3,2.81,V ugm-3,5.08,V ugm-3,0.33,V ugm-3,0.4,V ugm-3,0.26,V ugm-3,4.32,V ugm-3,1.26,V ugm-3,0.36,V ugm-3,0.35,V ugm-3,No data,,1.4,V ugm-3,0.14,V ugm-3,0.72,V ugm-3,0.25,V ugm-3,No data,,No data,,1.11,V ugm-3,4.67,V ugm-3,0.71,V ugm-3,2.78,V ugm-3,0.97,V ugm-3,No data,,1.25,V ugm-3,0.3,V ugm-3,307.1,N deg,0.4,N ms-1
2005-01-01,09:00:00,8,V ugm-3,83,V ugm-3,115,V ugm-3,241,V ugm-3,5,V ugm-3,0.6,V mgm-3,18,V ugm-3 (INDIC.GRAV),8,V ugm-3 (TEOM),11.8,V ugm-3,2.34,V ugm-3,2.02,V ugm-3,5.16,V ugm-3,1.37,V ugm-3,2.54,V ugm-3,4.84,V ugm-3,0.3,V ugm-3,0.37,V ugm-3,0.21,V ugm-3,3.39,V ugm-3,1.14,V ugm-3,0.27,V ugm-3,0.23,V ugm-3,No data,,0.97,V ugm-3,0.14,V ugm-3,No data,V ugm-3,0.13,V ugm-3,No data,,No data,,0.91,V ugm-3,3.52,V ugm-3,0.62,V ugm-3,1.9,V ugm-3,0.79,V ugm-3,No data,,0.85,V ugm-3,0.25,V ugm-3,197.6,N deg,0.3,N ms-1
2005-01-01,10:00:00,16,V ugm-3,64,V ugm-3,94,V ugm-3,191,V ugm-3,3,V ugm-3,0.5,V mgm-3,18,V ugm-3 (INDIC.GRAV),8,V ugm-3 (TEOM),10.21,V ugm-3,2.52,V ugm-3,2.06,V ugm-3,5.07,V ugm-3,1.21,V ugm-3,2.71,V ugm-3,5.35,V ugm-3,0.35,V ugm-3,0.47,V ugm-3,0.26,V ugm-3,3.21,V ugm-3,1.17,V ugm-3,0.25,V ugm-3,0.26,V ugm-3,No data,,1.11,V ugm-3,0.08,V ugm-3,1.22,V ugm-3,0.21,V ugm-3,No data,,No data,,0.75,V ugm-3,3.45,V ugm-3,0.53,V ugm-3,1.94,V ugm-3,0.71,V ugm-3,No data,,0.9,V ugm-3,0.25,V ugm-3,323.6,N deg,0.3,N ms-1
2005-01-01,11:00:00,14,V ugm-3,66,V ugm-3,92,V ugm-3,193,V ugm-3,3,V ugm-3,0.7,V mgm-3,17,V ugm-3 (INDIC.GRAV),10,V ugm-3 (TEOM),10.74,V ugm-3,2.48,V ugm-3,1.86,V ugm-3,5.64,V ugm-3,1.63,V ugm-3,2.86,V ugm-3,5.4,V ugm-3,0.35,V ugm-3,0.33,V ugm-3,0.21,V ugm-3,3.48,V ugm-3,1.35,V ugm-3,0.2,V ugm-3,0.26,V ugm-3,No data,,1.32,V ugm-3,0.17,V ugm-3,1.32,V ugm-3,0.33,V ugm-3,No data,,No data,,1.04,V ugm-3,3.87,V ugm-3,0.62,V ugm-3,2.03,V ugm-3,0.88,V ugm-3,No data,,1,V ugm-3,0.25,V ugm-3,317.8,N deg,0.3,N ms-1
2005-01-01,12:00:00,16,V ugm-3,73,V ugm-3,92,V ugm-3,202,V ugm-3,5,V ugm-3,0.7,V mgm-3,20,V ugm-3 (INDIC.GRAV),7,V ugm-3 (TEOM),8.83,V ugm-3,2.57,V ugm-3,2.02,V ugm-3,4.65,V ugm-3,1.35,V ugm-3,3.24,V ugm-3,5.76,V ugm-3,0.3,V ugm-3,0.37,V ugm-3,0.23,V ugm-3,4.02,V ugm-3,1.26,V ugm-3,0.36,V ugm-3,0.26,V ugm-3,No data,,1.22,V ugm-3,0.14,V ugm-3,0.54,V ugm-3,0.25,V ugm-3,No data,,No data,,1.27,V ugm-3,3.83,V ugm-3,0.66,V ugm-3,2.07,V ugm-3,0.88,V ugm-3,No data,,1,V ugm-3,0.25,V ugm-3,317.4,N deg,0.4,N ms-1
2005-01-01,13:00:00,14,V ugm-3,78,V ugm-3,99,V ugm-3,218,V ugm-3,5,V ugm-3,0.8,V mgm-3,23,V ugm-3 (INDIC.GRAV),5,V ugm-3 (TEOM),7.43,V ugm-3,3.15,V ugm-3,2.96,V ugm-3,3.93,V ugm-3,1.4,V ugm-3,4.11,V ugm-3,8.25,V ugm-3,0.4,V ugm-3,0.51,V ugm-3,0.4,V ugm-3,6.27,V ugm-3,1.62,V ugm-3,0.36,V ugm-3,0.44,V ugm-3,No data,,1.97,V ugm-3,0.34,V ugm-3,0.79,V ugm-3,0.38,V ugm-3,No data,,No data,,1.63,V ugm-3,6.51,V ugm-3,1.06,V ugm-3,3.35,V ugm-3,1.37,V ugm-3,No data,,1.5,V ugm-3,0.4,V ugm-3,66.4,N deg,0.3,N ms-1
2005-01-01,14:00:00,16,V ugm-3,71,V ugm-3,88,V ugm-3,197,V ugm-3,5,V ugm-3,0.8,V mgm-3,23,V ugm-3 (INDIC.GRAV),8,V ugm-3 (TEOM),7.4,V ugm-3,2.93,V ugm-3,2.44,V ugm-3,4.14,V ugm-3,1.44,V ugm-3,3.82,V ugm-3,7.55,V ugm-3,0.35,V ugm-3,0.42,V ugm-3,0.37,V ugm-3,5.34,V ugm-3,1.35,V ugm-3,0.27,V ugm-3,0.35,V ugm-3,No data,,1.54,V ugm-3,0.2,V ugm-3,0.82,V ugm-3,0.29,V ugm-3,No data,,No data,,1.3,V ugm-3,4.83,V ugm-3,0.84,V ugm-3,2.78,V ugm-3,1.1,V ugm-3,No data,,1.25,V ugm-3,0.35,V ugm-3,203.6,N deg,0.4,N ms-1
2005-01-01,15:00:00,14,V ugm-3,78,V ugm-3,88,V ugm-3,206,V ugm-3,5,V ugm-3,0.8,V mgm-3,20,V ugm-3 (INDIC.GRAV),9,V ugm-3 (TEOM),7.31,V ugm-3,3.91,V ugm-3,3.29,V ugm-3,4.15,V ugm-3,1.54,V ugm-3,3.99,V ugm-3,7.99,V ugm-3,0.54,V ugm-3,0.58,V ugm-3,0.44,V ugm-3,6.42,V ugm-3,1.74,V ugm-3,0.43,V ugm-3,0.73,V ugm-3,No data,,1.97,V ugm-3,0.34,V ugm-3,0.82,V ugm-3,0.38,V ugm-3,No data,,No data,,1.63,V ugm-3,6.66,V ugm-3,1.28,V ugm-3,3.66,V ugm-3,1.46,V ugm-3,No data,,1.75,V ugm-3,0.45,V ugm-3,328.4,N deg,0.4,N ms-1
2005-01-01,16:00:00,20,V ugm-3,53,V ugm-3,76,V ugm-3,157,V ugm-3,5,V ugm-3,0.7,V mgm-3,22,V ugm-3 (INDIC.GRAV),11,V ugm-3 (TEOM),5.68,V ugm-3,2.85,V ugm-3,2.41,V ugm-3,3.15,V ugm-3,1.49,V ugm-3,2.95,V ugm-3,5.78,V ugm-3,0.37,V ugm-3,0.56,V ugm-3,0.28,V ugm-3,4.65,V ugm-3,1.23,V ugm-3,0.25,V ugm-3,0.32,V ugm-3,No data,,1.43,V ugm-3,0.25,V ugm-3,0.86,V ugm-3,0.25,V ugm-3,No data,,No data,,1.3,V ugm-3,4.71,V ugm-3,0.71,V ugm-3,2.47,V ugm-3,1.01,V ugm-3,No data,,1.3,V ugm-3,0.25,V ugm-3,336.1,N deg,0.6,N ms-1
2005-01-01,17:00:00,20,V ugm-3,66,V ugm-3,78,V ugm-3,180,V ugm-3,5,V ugm-3,0.8,V mgm-3,17,V ugm-3 (INDIC.GRAV),7,V ugm-3 (TEOM),5.33,V ugm-3,3.37,V ugm-3,2.75,V ugm-3,3.04,V ugm-3,1.63,V ugm-3,2.78,V ugm-3,5.64,V ugm-3,0.47,V ugm-3,0.49,V ugm-3,0.35,V ugm-3,4.86,V ugm-3,1.29,V ugm-3,0.47,V ugm-3,0.41,V ugm-3,No data,,1.68,V ugm-3,0.28,V ugm-3,0.68,V ugm-3,0.33,V ugm-3,No data,,No data,,1.43,V ugm-3,5.44,V ugm-3,0.88,V ugm-3,2.91,V ugm-3,1.19,V ugm-3,No data,,1.3,V ugm-3,0.35,V ugm-3,316.6,N deg,0.6,N ms-1
2005-01-01,18:00:00,16,V ugm-3,73,V ugm-3,84,V ugm-3,195,V ugm-3,5,V ugm-3,0.7,V mgm-3,22,V ugm-3 (INDIC.GRAV),10,V ugm-3 (TEOM),5.66,V ugm-3,3.79,V ugm-3,2.92,V ugm-3,2.85,V ugm-3,2.17,V ugm-3,3.15,V ugm-3,6.61,V ugm-3,0.51,V ugm-3,0.65,V ugm-3,0.37,V ugm-3,5.88,V ugm-3,1.38,V ugm-3,0.61,V ugm-3,0.58,V ugm-3,No data,,1.86,V ugm-3,0.31,V ugm-3,0.79,V ugm-3,0.33,V ugm-3,No data,,No data,,1.69,V ugm-3,6.24,V ugm-3,1.01,V ugm-3,3.84,V ugm-3,1.37,V ugm-3,No data,,1.65,V ugm-3,0.4,V ugm-3,322.8,N deg,0.7,N ms-1
2005-01-01,19:00:00,28,V ugm-3,54,V ugm-3,78,V ugm-3,160,V ugm-3,3,V ugm-3,0.8,V mgm-3,20,V ugm-3 (INDIC.GRAV),No data,V ugm-3 (TEOM),5.39,V ugm-3,3.11,V ugm-3,4,V ugm-3,2.89,V ugm-3,1.61,V ugm-3,2.49,V ugm-3,5.03,V ugm-3,0.4,V ugm-3,0.51,V ugm-3,0.28,V ugm-3,4.68,V ugm-3,1.26,V ugm-3,0.43,V ugm-3,0.38,V ugm-3,No data,,1.65,V ugm-3,0.17,V ugm-3,0.61,V ugm-3,0.33,V ugm-3,No data,,No data,,1.53,V ugm-3,5.63,V ugm-3,0.93,V ugm-3,3.13,V ugm-3,1.23,V ugm-3,No data,,1.5,V ugm-3,0.4,V ugm-3,266.3,N deg,1.6,N ms-1
2005-01-01,20:00:00,24,V ugm-3,48,V ugm-3,84,V ugm-3,157,V ugm-3,3,V ugm-3,0.7,V mgm-3,29,V ugm-3 (INDIC.GRAV),9,V ugm-3 (TEOM),5.78,V ugm-3,3.16,V ugm-3,2.97,V ugm-3,3.51,V ugm-3,1.91,V ugm-3,2.69,V ugm-3,5.64,V ugm-3,0.47,V ugm-3,0.51,V ugm-3,0.3,V ugm-3,5.22,V ugm-3,1.35,V ugm-3,0.36,V ugm-3,0.41,V ugm-3,No data,,1.83,V ugm-3,0.2,V ugm-3,0.75,V ugm-3,0.33,V ugm-3,No data,,No data,,1.72,V ugm-3,6.47,V ugm-3,1.19,V ugm-3,4.01,V ugm-3,1.46,V ugm-3,No data,,1.65,V ugm-3,0.5,V ugm-3,266.1,N deg,1.6,N ms-1
2005-01-01,21:00:00,26,V ugm-3,38,V ugm-3,73,V ugm-3,130,V ugm-3,3,V ugm-3,0.6,V mgm-3,31,V ugm-3 (INDIC.GRAV),11,V ugm-3 (TEOM),5.64,V ugm-3,2.59,V ugm-3,2.38,V ugm-3,2.82,V ugm-3,1.66,V ugm-3,1.82,V ugm-3,3.78,V ugm-3,0.44,V ugm-3,0.37,V ugm-3,0.3,V ugm-3,3.3,V ugm-3,0.99,V ugm-3,0.38,V ugm-3,0.35,V ugm-3,No data,,1.25,V ugm-3,0.17,V ugm-3,0.47,V ugm-3,0.33,V ugm-3,No data,,No data,,1.3,V ugm-3,4.4,V ugm-3,0.75,V ugm-3,2.69,V ugm-3,0.97,V ugm-3,No data,,1.05,V ugm-3,0.3,V ugm-3,263.4,N deg,1.9,N ms-1
2005-01-01,22:00:00,16,V ugm-3,56,V ugm-3,84,V ugm-3,170,V ugm-3,3,V ugm-3,0.7,V mgm-3,23,V ugm-3 (INDIC.GRAV),8,V ugm-3 (TEOM),6.55,V ugm-3,3.12,V ugm-3,2.56,V ugm-3,3.81,V ugm-3,1.72,V ugm-3,2.32,V ugm-3,4.43,V ugm-3,0.33,V ugm-3,0.47,V ugm-3,0.21,V ugm-3,4.08,V ugm-3,1.17,V ugm-3,0.36,V ugm-3,0.29,V ugm-3,No data,,1.43,V ugm-3,0.25,V ugm-3,0.72,V ugm-3,0.29,V ugm-3,No data,,No data,,1.53,V ugm-3,4.83,V ugm-3,0.79,V ugm-3,2.69,V ugm-3,1.01,V ugm-3,No data,,1.05,V ugm-3,0.3,V ugm-3,263.4,N deg,1.3,N ms-1
2005-01-01,23:00:00,14,V ugm-3,60,V ugm-3,80,V ugm-3,172,V ugm-3,3,V ugm-3,0.8,V mgm-3,22,V ugm-3 (INDIC.GRAV),9,V ugm-3 (TEOM),6.88,V ugm-3,3.37,V ugm-3,2.86,V ugm-3,3.39,V ugm-3,1.87,V ugm-3,2.47,V ugm-3,4.96,V ugm-3,0.56,V ugm-3,0.65,V ugm-3,0.28,V ugm-3,4.53,V ugm-3,1.29,V ugm-3,0.36,V ugm-3,0.32,V ugm-3,No data,,1.61,V ugm-3,0.31,V ugm-3,0.82,V ugm-3,0.38,V ugm-3,No data,,No data,,1.82,V ugm-3,5.71,V ugm-3,1.06,V ugm-3,3.09,V ugm-3,1.23,V ugm-3,No data,,1.35,V ugm-3,0.35,V ugm-3,267.3,N deg,1.3,N ms-1
2005-01-01,24:00:00,22,V ugm-3,46,V ugm-3,69,V ugm-3,139,V ugm-3,3,V ugm-3,0.7,V mgm-3,23,V ugm-3 (INDIC.GRAV),7,V ugm-3 (TEOM),6.66,V ugm-3,2.49,V ugm-3,2.2,V ugm-3,3.22,V ugm-3,1.63,V ugm-3,1.89,V ugm-3,3.7,V ugm-3,0.4,V ugm-3,0.33,V ugm-3,0.35,V ugm-3,3.54,V ugm-3,1.08,V ugm-3,0.34,V ugm-3,0.32,V ugm-3,No data,,1.15,V ugm-3,0.17,V ugm-3,0.64,V ugm-3,0.29,V ugm-3,No data,,No data,,1.4,V ugm-3,4.29,V ugm-3,0.75,V ugm-3,2.34,V ugm-3,0.93,V ugm-3,No data,,1.1,V ugm-3,0.3,V ugm-3,266.5,N deg,1.5,N ms-1
2005-01-02,01:00:00,38,V ugm-3,21,V ugm-3,46,V ugm-3,78,V ugm-3,0,V ugm-3,0.5,V mgm-3,18,V ugm-3 (INDIC.GRAV),6,V ugm-3 (TEOM),6.2,V ugm-3,1.09,V ugm-3,1.03,V ugm-3,3.33,V ugm-3,0.61,V ugm-3,1.31,V ugm-3,2.4,V ugm-3,0.14,V ugm-3,0.21,V ugm-3,0.12,V ugm-3,1.74,V ugm-3,0.63,V ugm-3,0.11,V ugm-3,0.26,V ugm-3,No data,,0.5,V ugm-3,0.08,V ugm-3,0.43,V ugm-3,0.13,V ugm-3,No data,,No data,,0.62,V ugm-3,1.61,V ugm-3,0.26,V ugm-3,0.84,V ugm-3,0.44,V ugm-3,No data,,0.45,V ugm-3,0.15,V ugm-3,263.4,N deg,1.8,N ms-1
2005-01-02,02:00:00,36,V ugm-3,20,V ugm-3,44,V ugm-3,74,V ugm-3,0,V ugm-3,0.5,V mgm-3,21,V ugm-3 (INDIC.GRAV),6,V ugm-3 (TEOM),6.83,V ugm-3,1.21,V ugm-3,1.26,V ugm-3,3.2,V ugm-3,0.65,V ugm-3,1.43,V ugm-3,2.54,V ugm-3,0.26,V ugm-3,0.3,V ugm-3,0.14,V ugm-3,1.68,V ugm-3,0.63,V ugm-3,0.23,V ugm-3,0.23,V ugm-3,No data,,0.57,V ugm-3,0.06,V ugm-3,No data,V ugm-3,0.17,V ugm-3,No data,,No data,,0.65,V ugm-3,1.61,V ugm-3,0.31,V ugm-3,0.84,V ugm-3,0.4,V ugm-3,No data,,0.4,V ugm-3,0.1,V ugm-3,259,N deg,1.9,N ms-1
2005-01-02,03:00:00,38,V ugm-3,19,V ugm-3,42,V ugm-3,71,V ugm-3,3,V ugm-3,0.5,V mgm-3,22,V ugm-3 (INDIC.GRAV),5,V ugm-3 (TEOM),7.83,V ugm-3,1.42,V ugm-3,1.52,V ugm-3,3.75,V ugm-3,0.68,V ugm-3,1.57,V ugm-3,2.57,V ugm-3,0.23,V ugm-3,0.3,V ugm-3,0.14,V ugm-3,1.77,V ugm-3,0.81,V ugm-3,0.2,V ugm-3,0.15,V ugm-3,No data,,0.61,V ugm-3,0.11,V ugm-3,0.43,V ugm-3,0.13,V ugm-3,No data,,No data,,0.72,V ugm-3,1.95,V ugm-3,0.35,V ugm-3,1.1,V ugm-3,0.49,V ugm-3,No data,,0.65,V ugm-3,0.15,V ugm-3,263.3,N deg,1.5,N ms-1
2005-01-02,04:00:00,40,V ugm-3,19,V ugm-3,40,V ugm-3,69,V ugm-3,0,V ugm-3,0.3,V mgm-3,21,V ugm-3 (INDIC.GRAV),6,V ugm-3 (TEOM),7.55,V ugm-3,1.29,V ugm-3,1.33,V ugm-3,3.5,V ugm-3,0.88,V ugm-3,1.4,V ugm-3,2.23,V ugm-3,0.23,V ugm-3,0.21,V ugm-3,0.09,V ugm-3,1.65,V ugm-3,0.75,V ugm-3,0.25,V ugm-3,0.18,V ugm-3,No data,,0.57,V ugm-3,0.11,V ugm-3,No data,V ugm-3,0.17,V ugm-3,No data,,No data,,0.72,V ugm-3,1.72,V ugm-3,0.31,V ugm-3,0.93,V ugm-3,0.4,V ugm-3,No data,,0.55,V ugm-3,0.15,V ugm-3,263.9,N deg,1.6,N ms-1
2005-01-02,05:00:00,34,V ugm-3,25,V ugm-3,48,V ugm-3,86,V ugm-3,0,V ugm-3,0.5,V mgm-3,30,V ugm-3 (INDIC.GRAV),8,V ugm-3 (TEOM),7.78,V ugm-3,1.49,V ugm-3,2.25,V ugm-3,3.77,V ugm-3,0.84,V ugm-3,1.74,V ugm-3,2.9,V ugm-3,0.23,V ugm-3,0.44,V ugm-3,0.14,V ugm-3,2.1,V ugm-3,0.84,V ugm-3,0.23,V ugm-3,0.2,V ugm-3,No data,,0.79,V ugm-3,0.08,V ugm-3,No data,V ugm-3,0.21,V ugm-3,No data,,No data,,0.75,V ugm-3,2.26,V ugm-3,0.35,V ugm-3,1.28,V ugm-3,0.53,V ugm-3,No data,,0.65,V ugm-3,0.2,V ugm-3,269,N deg,1.3,N ms-1
2005-01-02,06:00:00,36,V ugm-3,30,V ugm-3,53,V ugm-3,99,V ugm-3,0,V ugm-3,0.2,V mgm-3,27,V ugm-3 (INDIC.GRAV),8,V ugm-3 (TEOM),7.71,V ugm-3,1.3,V ugm-3,1,V ugm-3,4.15,V ugm-3,0.77,V ugm-3,1.43,V ugm-3,2.06,V ugm-3,0.21,V ugm-3,0.26,V ugm-3,0.16,V ugm-3,1.32,V ugm-3,0.66,V ugm-3,0.23,V ugm-3,0.12,V ugm-3,No data,,0.5,V ugm-3,0.11,V ugm-3,No data,V ugm-3,0.17,V ugm-3,No data,,No data,,0.59,V ugm-3,1.11,V ugm-3,0.22,V ugm-3,0.66,V ugm-3,0.31,V ugm-3,No data,,0.4,V ugm-3,0.1,V ugm-3,266.5,N deg,1.3,N ms-1
2005-01-02,07:00:00,18,V ugm-3,39,V ugm-3,80,V ugm-3,139,V ugm-3,3,V ugm-3,0.3,V mgm-3,34,V ugm-3 (INDIC.GRAV),10,V ugm-3 (TEOM),9.31,V ugm-3,1.97,V ugm-3,1.53,V ugm-3,4.63,V ugm-3,0.96,V ugm-3,1.62,V ugm-3,2.9,V ugm-3,0.23,V ugm-3,0.42,V ugm-3,0.21,V ugm-3,2.19,V ugm-3,0.87,V ugm-3,0.23,V ugm-3,0.12,V ugm-3,No data,,0.79,V ugm-3,0.2,V ugm-3,No data,V ugm-3,0.21,V ugm-3,No data,,No data,,0.78,V ugm-3,2.34,V ugm-3,0.35,V ugm-3,1.28,V ugm-3,0.49,V ugm-3,No data,,0.65,V ugm-3,0.2,V ugm-3,266,N deg,1.4,N ms-1
